WKT,code,type,subtype,width,length,gap,id_2022,id_2020,id_1987,enabled,area,perimeter,get_shape,img,start_poin,end_point,road
"POLYGON((15.3835122801829 25.1874281500575,15.3835122750606 25.3382680421504,20.4115090940613 25.3382682336383,20.4115090994164 25.1874283165687,15.3835122801829 25.1874281500575))",longitudinal-discontinua__0.15_5_12_0,longitudinal-discontinua,,0.150000000000000,5.000000000000000,12.000000000000000,M1.1,M1.1,,"0",0.750000000000000,10.300000000000001,"0",catalog/M1_1.png,,,
"POLYGON((32.4787048578728 25.3382686932093,37.5067045076285 25.3382688846974,37.5067045129836 25.187428882707,32.4787048625294 25.1874287161957,32.4787048578728 25.3382686932093))",longitudinal-discontinua__0.15_5_12_1,longitudinal-discontinua,,0.150000000000000,5.000000000000000,12.000000000000000,M1.1,M1.1,,"0",0.750000000000000,10.300000000000001,"0",catalog/M1_1.png,,,
"POLYGON((15.3835122201126 26.3438673227698,15.3835122084711 26.4947072148627,19.4059095976409 26.4947075212432,19.4059096088167 26.343867609169,15.3835122201126 26.3438673227698))",longitudinal-discontinua__0.15_4_8.5_2,longitudinal-discontinua,,0.150000000000000,4.000000000000000,8.500000000000000,M1.2,M1.2,,"0",0.600000000000000,8.300000000000002,"0",catalog/M1_2.png,,,
"POLYGON((35.9983044704422 26.3438687905665,35.9983044806868 26.1930287960691,31.9759048938286 26.193028529651,31.975904883584 26.343868504167,35.9983044704422 26.3438687905665))",longitudinal-discontinua__0.15_4_8.5_3,longitudinal-discontinua,,0.150000000000000,4.000000000000000,8.500000000000000,M1.2,M1.2,,"0",0.600000000000000,8.300000000000002,"0",catalog/M1_2.png,,,
"POLYGON((15.3835121470038 27.1986267112962,15.3835121372249 27.2991866393582,17.3947107645217 27.299186845832,17.3947107747663 27.1986269111096,15.3835121470038 27.1986267112962))",longitudinal-discontinua__0.1_2_5.5_4,longitudinal-discontinua,,0.100000000000000,2.000000000000000,5.500000000000000,M1.3,M1.3,,"0",0.200000000000000,4.200000000000000,"0",catalog/M1_3.png,,,
"POLYGON((22.9255076881964 27.1986274605966,22.9255076784175 27.2991874136352,24.9367068053689 27.2991876201091,24.9367068156134 27.1986276604101,22.9255076881964 27.1986274605966))",longitudinal-discontinua__0.1_2_5.5_5,longitudinal-discontinua,,0.100000000000000,2.000000000000000,5.500000000000000,M1.3,M1.3,,"0",0.200000000000000,4.200000000000000,"0",catalog/M1_3.png,,,
"POLYGON((15.3835120305885 28.2042259919156,15.3835120100994 28.3550658840085,17.3947106383275 28.355066160417,17.394710658351 28.2042262583334,15.3835120305885 28.2042259919156))",longitudinal-discontinua__0.15_2_5.5_6,longitudinal-discontinua,,0.150000000000000,2.000000000000000,5.500000000000000,M1.3a,,,"0",0.300000000000000,4.300000000000000,"0",catalog/M1_3a.png,,,
"POLYGON((22.9255075517576 28.3550669205407,24.9367066791747 28.3550671969493,24.9367066987325 28.2042272574007,22.9255075717811 28.2042269909827,22.9255075517576 28.3550669205407))",longitudinal-discontinua__0.15_2_5.5_7,longitudinal-discontinua,,0.150000000000000,2.000000000000000,5.500000000000000,M1.3a,,,"0",0.300000000000000,4.300000000000000,"0",catalog/M1_3a.png,,,
"POLYGON((15.3835118804127 29.2098252725349,15.383511811262 29.6120649847827,16.3891111088451 29.6120651646147,16.3891111775301 29.2098254390461,15.3835118804127 29.2098252725349))",longitudinal-discontinua__0.4_1_1_8,longitudinal-discontinua,,0.400000000000000,1.000000000000000,1.000000000000000,M1.6,M1.6,M1.6,"1",0.400000000000000,2.800000000000000,"1",catalog/M1_6.png,,,
"POLYGON((18.4003098029643 29.6120655242789,18.4003098723479 29.2098257720684,17.3947105077095 29.2098256055573,17.3947104390245 29.6120653444468,18.4003098029643 29.6120655242789))",longitudinal-discontinua__0.4_1_1_9,longitudinal-discontinua,,0.400000000000000,1.000000000000000,1.000000000000000,M1.6,M1.6,M1.6,"0",0.400000000000000,2.800000000000000,"0",catalog/M1_6.png,,,
